Queue #	URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)
1	http://10.40.1.135/index9.html	2025-12-04 20:19:28.467949	2025-12-04 20:19:28.678859	210.88	200	2820.52	2999.45
2	http://10.40.1.135/index45.html	2025-12-04 20:19:29.469689	2025-12-04 20:19:29.599398	129.68	200	4648.97	5695.13
3	http://10.40.1.135/index26.html	2025-12-04 20:19:30.470881	2025-12-04 20:19:30.511724	40.82	200	4588.25	7725.34
4	http://10.40.1.135/index18.html	2025-12-04 20:19:31.471752	2025-12-04 20:19:31.516064	44.28	200	6370.79	9951.46
5	http://10.40.1.135/index3.html	2025-12-04 20:19:32.472837	2025-12-04 20:19:32.516559	43.7	200	8540.05	9470.77
6	http://10.40.1.135/index3.html	2025-12-04 20:19:33.473968	2025-12-04 20:19:33.494180	20.19	200	8540.05	9375.29
7	http://10.40.1.135/index1.html	2025-12-04 20:19:34.475177	2025-12-04 20:19:34.515895	40.69	200	3280.87	8768.04
8	http://10.40.1.135/index37.html	2025-12-04 20:19:35.476538	2025-12-04 20:19:35.524557	47.99	200	6537.33	9800.58
9	http://10.40.1.135/index18.html	2025-12-04 20:19:36.477715	2025-12-04 20:19:36.500292	22.56	200	6370.79	9166.1
10	http://10.40.1.135/index25.html	2025-12-04 20:19:37.478781	2025-12-04 20:19:37.523619	44.81	200	3605.24	8269.67
11	http://10.40.1.135/index1.html	2025-12-04 20:19:38.480043	2025-12-04 20:19:38.498003	17.93	200	3280.87	8826.22
12	http://10.40.1.135/index47.html	2025-12-04 20:19:39.480804	2025-12-04 20:19:39.518989	38.16	200	3239.0	8373.85
13	http://10.40.1.135/index34.html	2025-12-04 20:19:40.482855	2025-12-04 20:19:40.528846	45.97	200	6932.42	9768.08
14	http://10.40.1.135/index4.html	2025-12-04 20:19:41.484002	2025-12-04 20:19:41.530771	46.74	200	5061.61	9911.81
15	http://10.40.1.135/index4.html	2025-12-04 20:19:42.484833	2025-12-04 20:19:42.509391	24.54	200	5061.61	8813.34
16	http://10.40.1.135/index4.html	2025-12-04 20:19:43.486283	2025-12-04 20:19:43.508915	22.61	200	5061.61	9983.73
17	http://10.40.1.135/index6.html	2025-12-04 20:19:44.487063	2025-12-04 20:19:44.529913	42.83	200	2261.11	7605.2
18	http://10.40.1.135/index15.html	2025-12-04 20:19:45.488150	2025-12-04 20:19:45.530304	42.09	200	7720.04	9646.56
19	http://10.40.1.135/index11.html	2025-12-04 20:19:46.489268	2025-12-04 20:19:46.536040	46.75	200	7659.31	9685.26
20	http://10.40.1.135/index6.html	2025-12-04 20:19:47.489931	2025-12-04 20:19:47.508969	19.02	200	2261.11	7106.66
21	http://10.40.1.135/index19.html	2025-12-04 20:19:48.490988	2025-12-04 20:19:48.537478	46.47	200	5392.91	8563.87
22	http://10.40.1.135/index3.html	2025-12-04 20:19:49.491939	2025-12-04 20:19:49.511895	19.94	200	8540.05	10447.69
23	http://10.40.1.135/index6.html	2025-12-04 20:19:50.493436	2025-12-04 20:19:50.516650	23.19	200	2261.11	8543.64
24	http://10.40.1.135/index8.html	2025-12-04 20:19:51.495504	2025-12-04 20:19:51.541073	45.54	200	6086.97	8388.17
25	http://10.40.1.135/index12.html	2025-12-04 20:19:52.496902	2025-12-04 20:19:52.539141	42.22	200	4989.81	9896.59
26	http://10.40.1.135/index30.html	2025-12-04 20:19:53.497991	2025-12-04 20:19:53.541894	43.88	200	3712.38	9164.99
27	http://10.40.1.135/index4.html	2025-12-04 20:19:54.498901	2025-12-04 20:19:54.520607	21.68	200	5061.61	9366.4
28	http://10.40.1.135/index14.html	2025-12-04 20:19:55.500091	2025-12-04 20:19:55.543630	43.52	200	1955.59	7038.97
29	http://10.40.1.135/index18.html	2025-12-04 20:19:56.502031	2025-12-04 20:19:56.524890	22.81	200	6370.79	9619.59
30	http://10.40.1.135/index1.html	2025-12-04 20:19:57.503141	2025-12-04 20:19:57.523429	20.27	200	3280.87	8084.59
31	http://10.40.1.135/index19.html	2025-12-04 20:19:58.505469	2025-12-04 20:19:58.527163	21.67	200	5392.91	9757.57
32	http://10.40.1.135/index3.html	2025-12-04 20:19:59.506856	2025-12-04 20:19:59.525769	18.89	200	8540.05	9974.14
33	http://10.40.1.135/index1.html	2025-12-04 20:20:00.507726	2025-12-04 20:20:00.528205	20.45	200	3280.87	8983.47
34	http://10.40.1.135/index45.html	2025-12-04 20:20:01.508783	2025-12-04 20:20:01.530211	21.41	200	4648.97	9262.38
35	http://10.40.1.135/index47.html	2025-12-04 20:20:02.511189	2025-12-04 20:20:02.530465	19.25	200	3239.0	9618.09
36	http://10.40.1.135/index32.html	2025-12-04 20:20:03.511830	2025-12-04 20:20:03.561804	49.95	200	5824.42	9227.07
37	http://10.40.1.135/index7.html	2025-12-04 20:20:04.513418	2025-12-04 20:20:04.556811	43.37	200	8054.41	10256.25
