Queue #	URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)
49	http://10.40.1.135/index13.html	2025-12-04 23:17:17.984210	2025-12-04 23:17:18.034904	50.67	200	4702.43	9865.96
50	http://10.40.1.135/index3.html	2025-12-04 23:17:18.985558	2025-12-04 23:17:19.002176	16.6	200	8540.05	10353.49
51	http://10.40.1.135/index46.html	2025-12-04 23:17:19.988595	2025-12-04 23:17:20.010629	22.01	200	8054.42	11508.06
52	http://10.40.1.135/index26.html	2025-12-04 23:17:20.989837	2025-12-04 23:17:21.026841	36.88	200	4588.25	9800.45
53	http://10.40.1.135/index42.html	2025-12-04 23:17:21.991337	2025-12-04 23:17:22.036909	45.54	200	1404.11	7735.0
54	http://10.40.1.135/index37.html	2025-12-04 23:17:22.992130	2025-12-04 23:17:23.033899	41.75	200	6537.33	7911.73
55	http://10.40.1.135/index15.html	2025-12-04 23:17:23.993109	2025-12-04 23:17:24.010775	17.57	200	7720.04	9573.14
56	http://10.40.1.135/index40.html	2025-12-04 23:17:24.993874	2025-12-04 23:17:25.033817	39.92	200	8414.1	8282.99
57	http://10.40.1.135/index1.html	2025-12-04 23:17:25.995412	2025-12-04 23:17:26.016671	21.23	200	3280.87	6671.89
58	http://10.40.1.135/index3.html	2025-12-04 23:17:26.996976	2025-12-04 23:17:27.013928	16.93	200	8540.05	9949.88
59	http://10.40.1.135/index1.html	2025-12-04 23:17:27.997965	2025-12-04 23:17:28.013111	15.12	200	3280.87	9802.31
60	http://10.40.1.135/index6.html	2025-12-04 23:17:28.999335	2025-12-04 23:17:29.042583	43.23	200	2261.11	6867.91
61	http://10.40.1.135/index7.html	2025-12-04 23:17:29.999892	2025-12-04 23:17:30.017460	17.55	200	8054.41	9343.75
62	http://10.40.1.135/index4.html	2025-12-04 23:17:31.001187	2025-12-04 23:17:31.019497	18.28	200	5061.61	9565.22
63	http://10.40.1.135/index31.html	2025-12-04 23:17:32.002076	2025-12-04 23:17:32.022796	20.7	200	6818.25	9048.3
64	http://10.40.1.135/index6.html	2025-12-04 23:17:33.003080	2025-12-04 23:17:33.021534	18.43	200	2261.11	8234.21
65	http://10.40.1.135/index5.html	2025-12-04 23:17:34.005498	2025-12-04 23:17:34.029243	23.73	200	5061.6	7927.08
66	http://10.40.1.135/index12.html	2025-12-04 23:17:35.006762	2025-12-04 23:17:35.023209	16.43	200	4989.81	8494.27
67	http://10.40.1.135/index2.html	2025-12-04 23:17:36.008089	2025-12-04 23:17:36.026509	18.36	200	4336.15	7561.46
68	http://10.40.1.135/index28.html	2025-12-04 23:17:37.008940	2025-12-04 23:17:37.055035	46.08	200	924.91	4857.19
69	http://10.40.1.135/index1.html	2025-12-04 23:17:38.010082	2025-12-04 23:17:38.028309	18.21	200	3280.87	7294.32
70	http://10.40.1.135/index49.html	2025-12-04 23:17:39.010994	2025-12-04 23:17:39.054739	43.72	200	5469.02	9521.01
71	http://10.40.1.135/index26.html	2025-12-04 23:17:40.012003	2025-12-04 23:17:40.025128	13.1	200	4588.25	10378.43
72	http://10.40.1.135/index3.html	2025-12-04 23:17:41.012958	2025-12-04 23:17:41.032294	19.24	200	8540.05	10732.16
