URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)	UE Position (x,y)
http://10.40.1.135/index5.html	2025-12-10 18:30:42.648042	2025-12-10 18:30:42.686837	68.34	200	5061.6	100.0	(991.3,0.0)
http://10.40.1.135/index2.html	2025-12-10 18:30:43.649526	2025-12-10 18:30:43.696299	71.75	200	4336.15	100.0	(-100.0,0.0)
HO::cell_B->cell_A	2025-12-10 18:30:44.649934	UE_Pos:(-85.0,0.0)				
http://10.40.1.135/index1.html	2025-12-10 18:30:44.750404	2025-12-10 18:30:44.794119	47.94	200	3280.87	4150.07	(-85.0,0.0)
http://10.40.1.135/index11.html	2025-12-10 18:30:45.651749	2025-12-10 18:30:45.694849	46.58	200	7659.31	4300.36	(-70.0,0.0)
http://10.40.1.135/index4.html	2025-12-10 18:30:46.652962	2025-12-10 18:30:46.695591	45.36	200	5061.61	4450.53	(-54.9,0.0)
http://10.40.1.135/index1.html	2025-12-10 18:30:47.655068	2025-12-10 18:30:47.693574	40.47	200	3280.87	4600.84	(-39.9,0.0)
http://10.40.1.135/index3.html	2025-12-10 18:30:48.655860	2025-12-10 18:30:48.701731	47.09	200	8540.05	4750.97	(-24.9,0.0)
http://10.40.1.135/index8.html	2025-12-10 18:30:49.656922	2025-12-10 18:30:49.698207	41.76	200	6086.97	4901.13	(-9.9,0.0)
http://10.40.1.135/index1.html	2025-12-10 18:30:50.657979	2025-12-10 18:30:50.703687	45.94	200	3280.87	4948.72	(5.1,0.0)
http://10.40.1.135/index6.html	2025-12-10 18:30:51.659299	2025-12-10 18:30:51.706523	48.21	200	2261.11	4798.53	(20.1,0.0)
http://10.40.1.135/index34.html	2025-12-10 18:30:52.660788	2025-12-10 18:30:52.705509	46.45	200	6932.42	4648.36	(35.2,0.0)
http://10.40.1.135/index2.html	2025-12-10 18:30:53.661194	2025-12-10 18:30:53.702681	43.97	200	4336.15	4498.23	(50.2,0.0)
http://10.40.1.135/index8.html	2025-12-10 18:30:54.661934	2025-12-10 18:30:54.707110	48.42	200	6086.97	4348.12	(65.2,0.0)
http://10.40.1.135/index1.html	2025-12-10 18:30:55.662732	2025-12-10 18:30:55.706061	47.32	200	3280.87	4197.99	(80.2,0.0)
