Queue #	URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)
1	http://10.40.1.135/index9.html	2025-12-06 11:31:33.251583	2025-12-06 11:31:33.366742	115.14	200	2820.52	3205.18
2	http://10.40.1.135/index45.html	2025-12-06 11:31:34.253419	2025-12-06 11:31:34.298005	44.51	200	4648.97	7186.54
3	http://10.40.1.135/index26.html	2025-12-06 11:31:35.253995	2025-12-06 11:31:35.297116	43.09	200	4588.25	6505.51
4	http://10.40.1.135/index18.html	2025-12-06 11:31:36.255354	2025-12-06 11:31:36.291388	36.02	200	6370.79	8192.53
5	http://10.40.1.135/index3.html	2025-12-06 11:31:37.256358	2025-12-06 11:31:37.302948	46.56	200	8540.05	9584.22
6	http://10.40.1.135/index3.html	2025-12-06 11:31:38.257259	2025-12-06 11:31:38.278286	21.01	200	8540.05	9695.15
7	http://10.40.1.135/index1.html	2025-12-06 11:31:39.257767	2025-12-06 11:31:39.299490	41.7	200	3280.87	6746.9
8	http://10.40.1.135/index37.html	2025-12-06 11:31:40.258933	2025-12-06 11:31:40.299623	40.67	200	6537.33	9496.97
9	http://10.40.1.135/index18.html	2025-12-06 11:31:41.260596	2025-12-06 11:31:41.281387	20.76	200	6370.79	11216.8
10	http://10.40.1.135/index25.html	2025-12-06 11:31:42.261736	2025-12-06 11:31:42.305494	43.74	200	3605.24	9376.82
11	http://10.40.1.135/index1.html	2025-12-06 11:31:43.262817	2025-12-06 11:31:43.280179	17.34	200	3280.87	10648.39
12	http://10.40.1.135/index47.html	2025-12-06 11:31:44.263954	2025-12-06 11:31:44.358466	94.43	200	3239.0	7333.27
13	http://10.40.1.135/index34.html	2025-12-06 11:31:45.265023	2025-12-06 11:31:45.310016	44.97	200	6932.42	10150.8
14	http://10.40.1.135/index4.html	2025-12-06 11:31:46.265860	2025-12-06 11:31:46.309873	43.99	200	5061.61	9968.06
15	http://10.40.1.135/index4.html	2025-12-06 11:31:47.267065	2025-12-06 11:31:47.288596	21.48	200	5061.61	7499.57
16	http://10.40.1.135/index4.html	2025-12-06 11:31:48.267779	2025-12-06 11:31:48.287748	19.95	200	5061.61	9549.69
17	http://10.40.1.135/index6.html	2025-12-06 11:31:49.268977	2025-12-06 11:31:49.309886	40.88	200	2261.11	7728.4
18	http://10.40.1.135/index15.html	2025-12-06 11:31:50.269953	2025-12-06 11:31:50.313057	43.08	200	7720.04	9798.01
19	http://10.40.1.135/index11.html	2025-12-06 11:31:51.271040	2025-12-06 11:31:51.318381	47.32	200	7659.31	9927.44
20	http://10.40.1.135/index6.html	2025-12-06 11:31:52.272175	2025-12-06 11:31:52.289018	16.73	200	2261.11	9283.6
21	http://10.40.1.135/index19.html	2025-12-06 11:31:53.273654	2025-12-06 11:31:53.317558	43.88	200	5392.91	6475.12
22	http://10.40.1.135/index3.html	2025-12-06 11:31:54.274787	2025-12-06 11:31:54.290221	15.42	200	8540.05	10121.8
23	http://10.40.1.135/index6.html	2025-12-06 11:31:55.275831	2025-12-06 11:31:55.294338	18.47	200	2261.11	8975.01
24	http://10.40.1.135/index8.html	2025-12-06 11:31:56.276954	2025-12-06 11:31:56.317861	40.89	200	6086.97	8977.33
25	http://10.40.1.135/index12.html	2025-12-06 11:31:57.278487	2025-12-06 11:31:57.320754	42.25	200	4989.81	9910.44
26	http://10.40.1.135/index30.html	2025-12-06 11:31:58.279093	2025-12-06 11:31:58.327861	48.75	200	3712.38	8504.55
27	http://10.40.1.135/index4.html	2025-12-06 11:31:59.280964	2025-12-06 11:31:59.296017	14.76	200	5061.61	10121.02
28	http://10.40.1.135/index14.html	2025-12-06 11:32:00.281710	2025-12-06 11:32:00.324734	42.94	200	1955.59	6254.31
29	http://10.40.1.135/index18.html	2025-12-06 11:32:01.283944	2025-12-06 11:32:01.301968	18.01	200	6370.79	10953.73
30	http://10.40.1.135/index1.html	2025-12-06 11:32:02.284709	2025-12-06 11:32:02.300870	16.14	200	3280.87	10767.85
31	http://10.40.1.135/index19.html	2025-12-06 11:32:03.285793	2025-12-06 11:32:03.302084	16.28	200	5392.91	10513.79
32	http://10.40.1.135/index3.html	2025-12-06 11:32:04.287066	2025-12-06 11:32:04.304973	17.88	200	8540.05	11560.54
33	http://10.40.1.135/index1.html	2025-12-06 11:32:05.287940	2025-12-06 11:32:05.307473	19.52	200	3280.87	10535.79
34	http://10.40.1.135/index45.html	2025-12-06 11:32:06.288853	2025-12-06 11:32:06.305015	16.14	200	4648.97	10589.18
35	http://10.40.1.135/index47.html	2025-12-06 11:32:07.290106	2025-12-06 11:32:07.309822	19.7	200	3239.0	3729.54
36	http://10.40.1.135/index32.html	2025-12-06 11:32:08.291762	2025-12-06 11:32:08.339289	47.5	200	5824.42	9764.12
37	http://10.40.1.135/index7.html	2025-12-06 11:32:09.292734	2025-12-06 11:32:09.335851	43.09	200	8054.41	11057.91
38	http://10.40.1.135/index2.html	2025-12-06 11:32:10.293968	2025-12-06 11:32:10.335185	41.2	200	4336.15	8946.12
39	http://10.40.1.135/index23.html	2025-12-06 11:32:11.294797	2025-12-06 11:32:11.339227	44.41	200	3904.67	8630.07
40	http://10.40.1.135/index11.html	2025-12-06 11:32:12.296614	2025-12-06 11:32:12.314512	17.88	200	7659.31	11270.68
41	http://10.40.1.135/index2.html	2025-12-06 11:32:13.297696	2025-12-06 11:32:13.316158	18.44	200	4336.15	11177.39
42	http://10.40.1.135/index13.html	2025-12-06 11:32:14.298696	2025-12-06 11:32:14.341511	42.8	200	4702.43	8336.87
43	http://10.40.1.135/index1.html	2025-12-06 11:32:15.299747	2025-12-06 11:32:15.318591	18.83	200	3280.87	9782.44
44	http://10.40.1.135/index41.html	2025-12-06 11:32:16.301144	2025-12-06 11:32:16.346304	45.14	200	3220.16	7360.75
45	http://10.40.1.135/index5.html	2025-12-06 11:32:17.301846	2025-12-06 11:32:17.349785	47.91	200	5061.6	9819.17
46	http://10.40.1.135/index22.html	2025-12-06 11:32:18.302821	2025-12-06 11:32:18.348122	45.28	200	5607.98	10824.32
47	http://10.40.1.135/index7.html	2025-12-06 11:32:19.303742	2025-12-06 11:32:19.325453	21.69	200	8054.41	11036.64
48	http://10.40.1.135/index14.html	2025-12-06 11:32:20.304755	2025-12-06 11:32:20.320333	15.55	200	1955.59	9357.54
49	http://10.40.1.135/index16.html	2025-12-06 11:32:21.305992	2025-12-06 11:32:21.348293	42.28	200	4421.69	9429.97
50	http://10.40.1.135/index4.html	2025-12-06 11:32:22.306809	2025-12-06 11:32:22.321765	14.94	200	5061.61	10970.73
51	http://10.40.1.135/index47.html	2025-12-06 11:32:23.307766	2025-12-06 11:32:23.327652	19.75	200	3239.0	10155.83
52	http://10.40.1.135/index30.html	2025-12-06 11:32:24.308878	2025-12-06 11:32:24.328942	20.05	200	3712.38	10861.5
53	http://10.40.1.135/index44.html	2025-12-06 11:32:25.309979	2025-12-06 11:32:25.353296	43.3	200	2033.85	6974.55
54	http://10.40.1.135/index40.html	2025-12-06 11:32:26.312367	2025-12-06 11:32:26.358557	46.17	200	8414.1	10839.54
55	http://10.40.1.135/index18.html	2025-12-06 11:32:27.313711	2025-12-06 11:32:27.328002	14.27	200	6370.79	11642.46
56	http://10.40.1.135/index42.html	2025-12-06 11:32:28.315481	2025-12-06 11:32:28.356825	41.32	200	1404.11	6486.86
57	http://10.40.1.135/index2.html	2025-12-06 11:32:29.315881	2025-12-06 11:32:29.334277	18.37	200	4336.15	7560.07
58	http://10.40.1.135/index4.html	2025-12-06 11:32:30.317192	2025-12-06 11:32:30.334487	17.28	200	5061.61	10355.23
59	http://10.40.1.135/index1.html	2025-12-06 11:32:31.317791	2025-12-06 11:32:31.337853	20.04	200	3280.87	9448.14
60	http://10.40.1.135/index7.html	2025-12-06 11:32:32.319081	2025-12-06 11:32:32.338473	19.34	200	8054.41	11315.25
61	http://10.40.1.135/index9.html	2025-12-06 11:32:33.320845	2025-12-06 11:32:33.341366	20.49	200	2820.52	10937.21
62	http://10.40.1.135/index6.html	2025-12-06 11:32:34.321831	2025-12-06 11:32:34.339832	17.98	200	2261.11	9852.93
63	http://10.40.1.135/index34.html	2025-12-06 11:32:35.323503	2025-12-06 11:32:35.342376	18.86	200	6932.42	10862.12
64	http://10.40.1.135/index8.html	2025-12-06 11:32:36.324872	2025-12-06 11:32:36.343803	18.9	200	6086.97	10524.34
65	http://10.40.1.135/index6.html	2025-12-06 11:32:37.326203	2025-12-06 11:32:37.344196	17.97	200	2261.11	9566.85
66	http://10.40.1.135/index15.html	2025-12-06 11:32:38.327145	2025-12-06 11:32:38.343654	16.49	200	7720.04	10911.06
67	http://10.40.1.135/index3.html	2025-12-06 11:32:39.327825	2025-12-06 11:32:39.349225	21.38	200	8540.05	11603.18
68	http://10.40.1.135/index32.html	2025-12-06 11:32:40.328709	2025-12-06 11:32:40.345920	17.12	200	5824.42	11203.6
69	http://10.40.1.135/index2.html	2025-12-06 11:32:41.330179	2025-12-06 11:32:41.342999	12.8	200	4336.15	10594.47
70	http://10.40.1.135/index49.html	2025-12-06 11:32:42.330970	2025-12-06 11:32:42.377217	46.1	200	5469.02	9236.32
71	http://10.40.1.135/index29.html	2025-12-06 11:32:43.332196	2025-12-06 11:32:43.378085	45.85	200	5913.51	10849.59
72	http://10.40.1.135/index4.html	2025-12-06 11:32:44.332889	2025-12-06 11:32:44.351736	18.82	200	5061.61	11352.5
73	http://10.40.1.135/index1.html	2025-12-06 11:32:45.334768	2025-12-06 11:32:45.360166	25.38	200	3280.87	10759.24
74	http://10.40.1.135/index33.html	2025-12-06 11:32:46.336267	2025-12-06 11:32:46.376179	39.89	200	6537.32	10261.38
75	http://10.40.1.135/index25.html	2025-12-06 11:32:47.336970	2025-12-06 11:32:47.358221	21.23	200	3605.24	10222.86
76	http://10.40.1.135/index26.html	2025-12-06 11:32:48.338780	2025-12-06 11:32:48.351311	12.51	200	4588.25	6453.74
77	http://10.40.1.135/index29.html	2025-12-06 11:32:49.339848	2025-12-06 11:32:49.356209	16.34	200	5913.51	10855.71
78	http://10.40.1.135/index2.html	2025-12-06 11:32:50.341232	2025-12-06 11:32:50.358554	17.3	200	4336.15	11107.88
79	http://10.40.1.135/index8.html	2025-12-06 11:32:51.341861	2025-12-06 11:32:51.361809	19.93	200	6086.97	10703.25
80	http://10.40.1.135/index2.html	2025-12-06 11:32:52.344862	2025-12-06 11:32:52.368733	23.77	200	4336.15	10280.34
81	http://10.40.1.135/index37.html	2025-12-06 11:32:53.346207	2025-12-06 11:32:53.363170	16.94	200	6537.33	9163.37
82	http://10.40.1.135/index20.html	2025-12-06 11:32:54.346876	2025-12-06 11:32:54.393797	46.89	200	2759.79	6760.4
83	http://10.40.1.135/index7.html	2025-12-06 11:32:55.348249	2025-12-06 11:32:55.365679	17.41	200	8054.41	11171.13
84	http://10.40.1.135/index1.html	2025-12-06 11:32:56.348858	2025-12-06 11:32:56.364215	15.34	200	3280.87	10112.22
85	http://10.40.1.135/index7.html	2025-12-06 11:32:57.350336	2025-12-06 11:32:57.366836	16.48	200	8054.41	10683.2
86	http://10.40.1.135/index7.html	2025-12-06 11:32:58.350843	2025-12-06 11:32:58.370582	19.72	200	8054.41	11714.67
87	http://10.40.1.135/index26.html	2025-12-06 11:32:59.351701	2025-12-06 11:32:59.369508	17.78	200	4588.25	10981.0
88	http://10.40.1.135/index20.html	2025-12-06 11:33:00.353165	2025-12-06 11:33:00.373097	19.91	200	2759.79	8545.7
89	http://10.40.1.135/index39.html	2025-12-06 11:33:01.353684	2025-12-06 11:33:01.394525	40.82	200	7720.03	10049.39
90	http://10.40.1.135/index12.html	2025-12-06 11:33:02.354895	2025-12-06 11:33:02.372620	17.7	200	4989.81	10244.98
91	http://10.40.1.135/index2.html	2025-12-06 11:33:03.356491	2025-12-06 11:33:03.372940	16.43	200	4336.15	9016.09
92	http://10.40.1.135/index25.html	2025-12-06 11:33:04.358264	2025-12-06 11:33:04.377008	18.72	200	3605.24	10773.08
93	http://10.40.1.135/index29.html	2025-12-06 11:33:05.358814	2025-12-06 11:33:05.380397	21.56	200	5913.51	10086.28
94	http://10.40.1.135/index16.html	2025-12-06 11:33:06.360171	2025-12-06 11:33:06.381396	21.19	200	4421.69	9343.59
95	http://10.40.1.135/index29.html	2025-12-06 11:33:07.361041	2025-12-06 11:33:07.378445	17.39	200	5913.51	10118.76
96	http://10.40.1.135/index13.html	2025-12-06 11:33:08.361994	2025-12-06 11:33:08.380314	18.28	200	4702.43	10429.73
97	http://10.40.1.135/index14.html	2025-12-06 11:33:09.363529	2025-12-06 11:33:09.384155	20.61	200	1955.59	9721.56
98	http://10.40.1.135/index11.html	2025-12-06 11:33:10.365041	2025-12-06 11:33:10.383595	18.53	200	7659.31	10738.56
