Queue #	URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)
49	http://10.40.1.135/index16.html	2025-12-08 18:32:32.857792	2025-12-08 18:32:32.903192	45.33	200	4421.69	9650.82
50	http://10.40.1.135/index4.html	2025-12-08 18:32:33.859168	2025-12-08 18:32:33.878631	19.44	200	5061.61	10929.62
51	http://10.40.1.135/index47.html	2025-12-08 18:32:34.859816	2025-12-08 18:32:34.878340	18.5	200	3239.0	10574.81
52	http://10.40.1.135/index30.html	2025-12-08 18:32:35.860973	2025-12-08 18:32:35.883609	22.61	200	3712.38	8430.69
53	http://10.40.1.135/index44.html	2025-12-08 18:32:36.862482	2025-12-08 18:32:36.905098	42.59	200	2033.85	6727.49
54	http://10.40.1.135/index40.html	2025-12-08 18:32:37.863853	2025-12-08 18:32:37.909210	45.27	200	8414.1	9174.03
55	http://10.40.1.135/index18.html	2025-12-08 18:32:38.864821	2025-12-08 18:32:38.882168	17.19	200	6370.79	11675.08
56	http://10.40.1.135/index42.html	2025-12-08 18:32:39.865901	2025-12-08 18:32:39.910820	44.89	200	1404.11	6697.42
57	http://10.40.1.135/index2.html	2025-12-08 18:32:40.866905	2025-12-08 18:32:40.887516	20.58	200	4336.15	10488.55
58	http://10.40.1.135/index4.html	2025-12-08 18:32:41.867815	2025-12-08 18:32:41.885273	17.43	200	5061.61	11012.43
59	http://10.40.1.135/index1.html	2025-12-08 18:32:42.869055	2025-12-08 18:32:42.890159	21.08	200	3280.87	10685.76
60	http://10.40.1.135/index7.html	2025-12-08 18:32:43.870248	2025-12-08 18:32:43.889547	19.27	200	8054.41	10857.0
61	http://10.40.1.135/index9.html	2025-12-08 18:32:44.871832	2025-12-08 18:32:44.891681	19.82	200	2820.52	8385.39
62	http://10.40.1.135/index6.html	2025-12-08 18:32:45.873239	2025-12-08 18:32:45.895945	22.55	200	2261.11	8361.93
63	http://10.40.1.135/index34.html	2025-12-08 18:32:46.873728	2025-12-08 18:32:46.888166	14.42	200	6932.42	11158.75
64	http://10.40.1.135/index8.html	2025-12-08 18:32:47.874842	2025-12-08 18:32:47.893213	18.35	200	6086.97	11233.23
65	http://10.40.1.135/index6.html	2025-12-08 18:32:48.876372	2025-12-08 18:32:48.894358	17.96	200	2261.11	10123.85
66	http://10.40.1.135/index15.html	2025-12-08 18:32:49.878515	2025-12-08 18:32:49.895498	16.95	200	7720.04	10857.27
67	http://10.40.1.135/index3.html	2025-12-08 18:32:50.879706	2025-12-08 18:32:50.899853	20.13	200	8540.05	10623.95
68	http://10.40.1.135/index32.html	2025-12-08 18:32:51.881575	2025-12-08 18:32:51.902652	21.05	200	5824.42	10454.64
69	http://10.40.1.135/index2.html	2025-12-08 18:32:52.883717	2025-12-08 18:32:52.904408	20.59	200	4336.15	8386.37
70	http://10.40.1.135/index49.html	2025-12-08 18:32:53.884911	2025-12-08 18:32:53.929020	44.08	200	5469.02	6557.93
71	http://10.40.1.135/index29.html	2025-12-08 18:32:54.885936	2025-12-08 18:32:54.932602	46.64	200	5913.51	8484.3
72	http://10.40.1.135/index4.html	2025-12-08 18:32:55.886790	2025-12-08 18:32:55.901907	15.1	200	5061.61	11113.53
73	http://10.40.1.135/index1.html	2025-12-08 18:32:56.887896	2025-12-08 18:32:56.905183	17.25	200	3280.87	6440.99
74	http://10.40.1.135/index33.html	2025-12-08 18:32:57.889386	2025-12-08 18:32:57.934854	45.44	200	6537.32	9438.46
75	http://10.40.1.135/index25.html	2025-12-08 18:32:58.889950	2025-12-08 18:32:58.909600	19.63	200	3605.24	10913.06
76	http://10.40.1.135/index26.html	2025-12-08 18:32:59.891397	2025-12-08 18:32:59.914192	22.76	200	4588.25	10525.97
77	http://10.40.1.135/index29.html	2025-12-08 18:33:00.892761	2025-12-08 18:33:00.912820	20.04	200	5913.51	11180.22
78	http://10.40.1.135/index2.html	2025-12-08 18:33:01.894404	2025-12-08 18:33:01.912036	17.61	200	4336.15	7442.01
79	http://10.40.1.135/index8.html	2025-12-08 18:33:02.895355	2025-12-08 18:33:02.910212	14.8	200	6086.97	10094.47
80	http://10.40.1.135/index2.html	2025-12-08 18:33:03.896133	2025-12-08 18:33:03.912772	16.62	200	4336.15	10813.37
81	http://10.40.1.135/index37.html	2025-12-08 18:33:04.897020	2025-12-08 18:33:04.917441	20.4	200	6537.33	10480.42
82	http://10.40.1.135/index20.html	2025-12-08 18:33:05.898233	2025-12-08 18:33:05.948669	50.41	200	2759.79	6788.65
83	http://10.40.1.135/index7.html	2025-12-08 18:33:06.898732	2025-12-08 18:33:06.915403	16.65	200	8054.41	10995.65
84	http://10.40.1.135/index1.html	2025-12-08 18:33:07.900028	2025-12-08 18:33:07.916551	16.46	200	3280.87	10167.39
85	http://10.40.1.135/index7.html	2025-12-08 18:33:08.900946	2025-12-08 18:33:08.922641	21.63	200	8054.41	10863.13
86	http://10.40.1.135/index7.html	2025-12-08 18:33:09.902015	2025-12-08 18:33:09.917081	15.03	200	8054.41	10522.19
87	http://10.40.1.135/index26.html	2025-12-08 18:33:10.902722	2025-12-08 18:33:10.919050	16.29	200	4588.25	10817.85
88	http://10.40.1.135/index20.html	2025-12-08 18:33:11.903723	2025-12-08 18:33:11.924599	20.86	200	2759.79	9666.08
89	http://10.40.1.135/index39.html	2025-12-08 18:33:12.905370	2025-12-08 18:33:12.952247	46.71	200	7720.03	10401.06
90	http://10.40.1.135/index12.html	2025-12-08 18:33:13.905757	2025-12-08 18:33:13.922765	16.99	200	4989.81	10942.33
91	http://10.40.1.135/index2.html	2025-12-08 18:33:14.906832	2025-12-08 18:33:14.924139	17.28	200	4336.15	10484.32
92	http://10.40.1.135/index25.html	2025-12-08 18:33:15.908756	2025-12-08 18:33:15.924868	16.09	200	3605.24	9145.69
93	http://10.40.1.135/index29.html	2025-12-08 18:33:16.909926	2025-12-08 18:33:16.931789	21.84	200	5913.51	10894.61
94	http://10.40.1.135/index16.html	2025-12-08 18:33:17.910801	2025-12-08 18:33:17.928992	18.17	200	4421.69	10901.9
95	http://10.40.1.135/index29.html	2025-12-08 18:33:18.912110	2025-12-08 18:33:18.929199	17.07	200	5913.51	10947.79
96	http://10.40.1.135/index13.html	2025-12-08 18:33:19.912916	2025-12-08 18:33:19.931605	18.67	200	4702.43	8506.15
97	http://10.40.1.135/index14.html	2025-12-08 18:33:20.914152	2025-12-08 18:33:20.937046	22.87	200	1955.59	7952.92
98	http://10.40.1.135/index11.html	2025-12-08 18:33:21.914817	2025-12-08 18:33:21.933259	18.41	200	7659.31	10777.16
99	http://10.40.1.135/index1.html	2025-12-08 18:33:22.915803	2025-12-08 18:33:22.931272	15.45	200	3280.87	10091.63
100	http://10.40.1.135/index2.html	2025-12-08 18:33:23.917158	2025-12-08 18:33:23.932099	14.92	200	4336.15	10599.96
101	http://10.40.1.135/index1.html	2025-12-08 18:33:24.919179	2025-12-08 18:33:24.937962	18.76	200	3280.87	10535.02
102	http://10.40.1.135/index20.html	2025-12-08 18:33:25.920159	2025-12-08 18:33:25.939773	19.59	200	2759.79	10334.8
103	http://10.40.1.135/index7.html	2025-12-08 18:33:26.921152	2025-12-08 18:33:26.938066	16.69	200	8054.41	11052.46
104	http://10.40.1.135/index14.html	2025-12-08 18:33:27.923187	2025-12-08 18:33:27.944230	21.02	200	1955.59	9944.07
105	http://10.40.1.135/index41.html	2025-12-08 18:33:28.924881	2025-12-08 18:33:28.944803	19.9	200	3220.16	9972.45
106	http://10.40.1.135/index5.html	2025-12-08 18:33:29.925805	2025-12-08 18:33:29.945038	19.19	200	5061.6	10936.49
107	http://10.40.1.135/index10.html	2025-12-08 18:33:30.927540	2025-12-08 18:33:30.969175	41.61	200	3154.92	8029.68
108	http://10.40.1.135/index28.html	2025-12-08 18:33:31.928762	2025-12-08 18:33:31.972915	44.13	200	924.91	6846.49
109	http://10.40.1.135/index5.html	2025-12-08 18:33:32.929981	2025-12-08 18:33:32.948257	18.26	200	5061.6	10539.93
110	http://10.40.1.135/index2.html	2025-12-08 18:33:33.930950	2025-12-08 18:33:33.946723	15.74	200	4336.15	11170.03
111	http://10.40.1.135/index6.html	2025-12-08 18:33:34.931756	2025-12-08 18:33:34.948683	16.9	200	2261.11	9158.15
112	http://10.40.1.135/index3.html	2025-12-08 18:33:35.933012	2025-12-08 18:33:35.955957	22.92	200	8540.05	11119.58
113	http://10.40.1.135/index43.html	2025-12-08 18:33:36.934042	2025-12-08 18:33:36.975829	41.77	200	2033.87	7370.24
114	http://10.40.1.135/index32.html	2025-12-08 18:33:37.935054	2025-12-08 18:33:37.952789	17.71	200	5824.42	10678.98
115	http://10.40.1.135/index20.html	2025-12-08 18:33:38.935761	2025-12-08 18:33:38.960194	24.41	200	2759.79	10540.92
116	http://10.40.1.135/index38.html	2025-12-08 18:33:39.937458	2025-12-08 18:33:39.981109	43.62	200	2753.35	8689.58
117	http://10.40.1.135/index32.html	2025-12-08 18:33:40.938031	2025-12-08 18:33:40.956058	18.0	200	5824.42	11021.44
118	http://10.40.1.135/index4.html	2025-12-08 18:33:41.939699	2025-12-08 18:33:41.959643	19.91	200	5061.61	11075.87
119	http://10.40.1.135/index39.html	2025-12-08 18:33:42.941796	2025-12-08 18:33:42.959297	17.48	200	7720.03	11210.73
120	http://10.40.1.135/index15.html	2025-12-08 18:33:43.942852	2025-12-08 18:33:43.959909	17.04	200	7720.04	11262.51
121	http://10.40.1.135/index32.html	2025-12-08 18:33:44.943710	2025-12-08 18:33:44.966500	22.73	200	5824.42	8771.29
122	http://10.40.1.135/index40.html	2025-12-08 18:33:45.945195	2025-12-08 18:33:45.964894	19.68	200	8414.1	11294.31
123	http://10.40.1.135/index7.html	2025-12-08 18:33:46.946065	2025-12-08 18:33:46.964889	18.8	200	8054.41	11350.3
124	http://10.40.1.135/index2.html	2025-12-08 18:33:47.947862	2025-12-08 18:33:47.967284	19.4	200	4336.15	11436.16
125	http://10.40.1.135/index5.html	2025-12-08 18:33:48.949526	2025-12-08 18:33:48.968146	18.59	200	5061.6	10463.58
126	http://10.40.1.135/index11.html	2025-12-08 18:33:49.951208	2025-12-08 18:33:49.969967	18.74	200	7659.31	10984.03
127	http://10.40.1.135/index33.html	2025-12-08 18:33:50.952564	2025-12-08 18:33:50.980208	27.62	200	6537.32	9972.92
128	http://10.40.1.135/index37.html	2025-12-08 18:33:51.952976	2025-12-08 18:33:51.973019	20.02	200	6537.33	10935.71
129	http://10.40.1.135/index1.html	2025-12-08 18:33:52.954157	2025-12-08 18:33:52.975199	21.01	200	3280.87	9679.26
130	http://10.40.1.135/index14.html	2025-12-08 18:33:53.955256	2025-12-08 18:33:53.975897	20.62	200	1955.59	8970.42
131	http://10.40.1.135/index10.html	2025-12-08 18:33:54.956893	2025-12-08 18:33:54.976145	19.23	200	3154.92	9591.05
132	http://10.40.1.135/index4.html	2025-12-08 18:33:55.957911	2025-12-08 18:33:55.975464	17.53	200	5061.61	10347.94
133	http://10.40.1.135/index2.html	2025-12-08 18:33:56.958905	2025-12-08 18:33:56.980215	21.26	200	4336.15	11082.39
134	http://10.40.1.135/index7.html	2025-12-08 18:33:57.959940	2025-12-08 18:33:57.976616	16.65	200	8054.41	9337.06
135	http://10.40.1.135/index44.html	2025-12-08 18:33:58.960968	2025-12-08 18:33:58.979887	18.9	200	2033.85	6504.32
136	http://10.40.1.135/index7.html	2025-12-08 18:33:59.961981	2025-12-08 18:33:59.981280	19.28	200	8054.41	9670.11
137	http://10.40.1.135/index14.html	2025-12-08 18:34:00.962884	2025-12-08 18:34:00.982292	19.39	200	1955.59	10541.45
138	http://10.40.1.135/index24.html	2025-12-08 18:34:01.963845	2025-12-08 18:34:02.006495	42.63	200	4648.98	7746.66
139	http://10.40.1.135/index8.html	2025-12-08 18:34:02.964910	2025-12-08 18:34:02.981088	16.03	200	6086.97	9130.94
140	http://10.40.1.135/index47.html	2025-12-08 18:34:03.965969	2025-12-08 18:34:03.981113	15.11	200	3239.0	10398.43
141	http://10.40.1.135/index46.html	2025-12-08 18:34:04.966934	2025-12-08 18:34:05.011414	44.45	200	8054.42	10339.92
142	http://10.40.1.135/index5.html	2025-12-08 18:34:05.968015	2025-12-08 18:34:05.984294	16.26	200	5061.6	11279.09
143	http://10.40.1.135/index13.html	2025-12-08 18:34:06.968773	2025-12-08 18:34:06.985942	17.14	200	4702.43	11207.58
144	http://10.40.1.135/index6.html	2025-12-08 18:34:07.969806	2025-12-08 18:34:07.990700	20.87	200	2261.11	9394.58
