Queue #	URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)
1	http://10.40.1.135/index9.html	2025-12-06 08:41:02.309047	2025-12-06 08:41:02.444108	135.04	200	2820.52	3159.25
2	http://10.40.1.135/index45.html	2025-12-06 08:41:03.311510	2025-12-06 08:41:03.359946	48.42	200	4648.97	7378.52
3	http://10.40.1.135/index26.html	2025-12-06 08:41:04.315123	2025-12-06 08:41:04.357812	42.67	200	4588.25	9900.82
4	http://10.40.1.135/index18.html	2025-12-06 08:41:05.316442	2025-12-06 08:41:05.363447	46.98	200	6370.79	8663.84
5	http://10.40.1.135/index3.html	2025-12-06 08:41:06.318077	2025-12-06 08:41:06.368243	50.14	200	8540.05	10322.51
6	http://10.40.1.135/index3.html	2025-12-06 08:41:07.318861	2025-12-06 08:41:07.335208	16.33	200	8540.05	10599.98
7	http://10.40.1.135/index1.html	2025-12-06 08:41:08.319875	2025-12-06 08:41:08.361161	41.27	200	3280.87	9133.16
8	http://10.40.1.135/index37.html	2025-12-06 08:41:09.321007	2025-12-06 08:41:09.365112	44.09	200	6537.33	10685.61
9	http://10.40.1.135/index18.html	2025-12-06 08:41:10.323000	2025-12-06 08:41:10.340523	17.41	200	6370.79	11669.0
10	http://10.40.1.135/index25.html	2025-12-06 08:41:11.324370	2025-12-06 08:41:11.372865	48.48	200	3605.24	9579.13
11	http://10.40.1.135/index1.html	2025-12-06 08:41:12.324798	2025-12-06 08:41:12.344248	19.43	200	3280.87	7498.26
12	http://10.40.1.135/index47.html	2025-12-06 08:41:13.325947	2025-12-06 08:41:13.368278	42.31	200	3239.0	8399.49
13	http://10.40.1.135/index34.html	2025-12-06 08:41:14.326792	2025-12-06 08:41:14.367526	40.72	200	6932.42	10349.06
14	http://10.40.1.135/index4.html	2025-12-06 08:41:15.328009	2025-12-06 08:41:15.371672	43.64	200	5061.61	10498.39
15	http://10.40.1.135/index4.html	2025-12-06 08:41:16.329091	2025-12-06 08:41:16.355234	26.12	200	5061.61	9029.14
16	http://10.40.1.135/index4.html	2025-12-06 08:41:17.330257	2025-12-06 08:41:17.351650	21.37	200	5061.61	9997.48
17	http://10.40.1.135/index6.html	2025-12-06 08:41:18.330764	2025-12-06 08:41:18.378732	47.94	200	2261.11	7729.43
18	http://10.40.1.135/index15.html	2025-12-06 08:41:19.331931	2025-12-06 08:41:19.372058	40.1	200	7720.04	9038.97
19	http://10.40.1.135/index11.html	2025-12-06 08:41:20.332890	2025-12-06 08:41:20.375514	42.6	200	7659.31	10240.62
20	http://10.40.1.135/index6.html	2025-12-06 08:41:21.334108	2025-12-06 08:41:21.355529	21.39	200	2261.11	9309.79
21	http://10.40.1.135/index19.html	2025-12-06 08:41:22.334997	2025-12-06 08:41:22.377290	42.27	200	5392.91	9922.83
22	http://10.40.1.135/index3.html	2025-12-06 08:41:23.335942	2025-12-06 08:41:23.354395	17.67	200	8540.05	10357.38
23	http://10.40.1.135/index6.html	2025-12-06 08:41:24.337530	2025-12-06 08:41:24.355094	17.54	200	2261.11	8714.08
24	http://10.40.1.135/index8.html	2025-12-06 08:41:25.339162	2025-12-06 08:41:25.383146	43.96	200	6086.97	8673.32
25	http://10.40.1.135/index12.html	2025-12-06 08:41:26.339916	2025-12-06 08:41:26.386624	46.68	200	4989.81	8038.24
26	http://10.40.1.135/index30.html	2025-12-06 08:41:27.340693	2025-12-06 08:41:27.386864	46.14	200	3712.38	7711.56
27	http://10.40.1.135/index4.html	2025-12-06 08:41:28.341811	2025-12-06 08:41:28.359971	18.14	200	5061.61	6238.14
28	http://10.40.1.135/index14.html	2025-12-06 08:41:29.342695	2025-12-06 08:41:29.384304	41.59	200	1955.59	5617.17
29	http://10.40.1.135/index18.html	2025-12-06 08:41:30.343831	2025-12-06 08:41:30.360738	16.89	200	6370.79	9733.72
30	http://10.40.1.135/index1.html	2025-12-06 08:41:31.345026	2025-12-06 08:41:31.362871	17.82	200	3280.87	5496.75
31	http://10.40.1.135/index19.html	2025-12-06 08:41:32.345705	2025-12-06 08:41:32.363633	17.91	200	5392.91	7471.23
32	http://10.40.1.135/index3.html	2025-12-06 08:41:33.347197	2025-12-06 08:41:33.367283	20.06	200	8540.05	9771.46
33	http://10.40.1.135/index1.html	2025-12-06 08:41:34.348748	2025-12-06 08:41:34.362972	14.2	200	3280.87	6446.62
34	http://10.40.1.135/index45.html	2025-12-06 08:41:35.350772	2025-12-06 08:41:35.367863	17.07	200	4648.97	8333.89
35	http://10.40.1.135/index47.html	2025-12-06 08:41:36.351937	2025-12-06 08:41:36.368153	16.19	200	3239.0	7923.04
36	http://10.40.1.135/index32.html	2025-12-06 08:41:37.352692	2025-12-06 08:41:37.394752	42.03	200	5824.42	8127.2
37	http://10.40.1.135/index7.html	2025-12-06 08:41:38.353837	2025-12-06 08:41:38.394278	40.41	200	8054.41	10620.92
38	http://10.40.1.135/index2.html	2025-12-06 08:41:39.354691	2025-12-06 08:41:39.400765	46.05	200	4336.15	7784.73
