URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)	BTS	Dist(m)	Penalty(ms)	Position
http://10.40.1.135/index6.html	2025-12-12 10:00:39.959981	2025-12-12 10:00:40.209513	249.5	200	2261.11	2909.27	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index43.html	2025-12-12 10:00:41.990653	2025-12-12 10:00:42.036820	46.14	200	2033.87	3947.26	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index21.html	2025-12-12 10:00:43.553668	2025-12-12 10:00:43.595380	41.69	200	8906.33	8380.72	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index14.html	2025-12-12 10:00:45.661708	2025-12-12 10:00:45.702873	41.15	200	1955.59	6048.59	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index2.html	2025-12-12 10:00:47.027783	2025-12-12 10:00:47.069715	41.9	200	4336.15	8564.81	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index2.html	2025-12-12 10:00:48.577653	2025-12-12 10:00:48.599759	22.09	200	4336.15	9720.28	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-12 10:00:50.047984	2025-12-12 10:00:50.091576	43.57	200	3280.87	8484.76	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index33.html	2025-12-12 10:00:51.479647	2025-12-12 10:00:51.523912	44.25	200	6537.32	10269.65	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index14.html	2025-12-12 10:00:53.161739	2025-12-12 10:00:53.182902	21.14	200	1955.59	5078.27	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index20.html	2025-12-12 10:00:54.570072	2025-12-12 10:00:54.613569	43.48	200	2759.79	6354.36	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-12 10:00:56.049780	2025-12-12 10:00:56.064023	14.22	200	3280.87	9818.07	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index46.html	2025-12-12 10:00:57.399721	2025-12-12 10:00:57.442344	42.6	200	8054.42	10144.09	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index30.html	2025-12-12 10:00:59.237692	2025-12-12 10:00:59.284225	46.51	200	3712.38	9093.22	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index3.html	2025-12-12 10:01:00.693778	2025-12-12 10:01:00.739935	46.13	200	8540.05	10559.44	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index2.html	2025-12-12 10:01:02.550744	2025-12-12 10:01:02.566041	15.25	200	4336.15	10533.87	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index2.html	2025-12-12 10:01:03.979760	2025-12-12 10:01:03.995305	15.53	200	4336.15	10671.89	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index4.html	2025-12-12 10:01:05.403456	2025-12-12 10:01:05.454841	51.14	200	5061.61	9965.8	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index10.html	2025-12-12 10:01:06.964706	2025-12-12 10:01:07.007679	42.95	200	3154.92	8627.84	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index7.html	2025-12-12 10:01:08.376730	2025-12-12 10:01:08.424429	47.67	200	8054.41	10403.75	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index4.html	2025-12-12 10:01:10.200686	2025-12-12 10:01:10.217103	16.4	200	5061.61	10367.05	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index14.html	2025-12-12 10:01:11.706970	2025-12-12 10:01:11.728252	21.26	200	1955.59	8430.34	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index2.html	2025-12-12 10:01:12.961698	2025-12-12 10:01:12.976653	14.94	200	4336.15	10268.85	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index4.html	2025-12-12 10:01:14.401033	2025-12-12 10:01:14.420911	19.85	200	5061.61	10552.77	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index6.html	2025-12-12 10:01:15.902901	2025-12-12 10:01:15.922625	19.7	200	2261.11	9813.28	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index8.html	2025-12-12 10:01:17.155742	2025-12-12 10:01:17.200748	44.98	200	6086.97	9872.28	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index25.html	2025-12-12 10:01:18.818706	2025-12-12 10:01:18.863477	44.74	200	3605.24	8673.55	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index3.html	2025-12-12 10:01:20.281730	2025-12-12 10:01:20.294305	12.55	200	8540.05	11021.95	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index10.html	2025-12-12 10:01:22.070779	2025-12-12 10:01:22.088677	17.87	200	3154.92	9350.09	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index13.html	2025-12-12 10:01:23.427835	2025-12-12 10:01:23.475593	47.58	200	4702.43	9174.61	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-12 10:01:24.991776	2025-12-12 10:01:25.010195	18.4	200	3280.87	9990.55	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index14.html	2025-12-12 10:01:26.341658	2025-12-12 10:01:26.359679	18.0	200	1955.59	8847.22	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index2.html	2025-12-12 10:01:27.582917	2025-12-12 10:01:27.596755	13.82	200	4336.15	10486.44	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-12 10:01:29.012703	2025-12-12 10:01:29.029241	16.33	200	3280.87	9701.8	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index43.html	2025-12-12 10:01:30.369840	2025-12-12 10:01:30.386634	16.77	200	2033.87	9515.37	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index45.html	2025-12-12 10:01:31.602935	2025-12-12 10:01:31.643535	40.58	200	4648.97	9276.43	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index27.html	2025-12-12 10:01:33.145624	2025-12-12 10:01:33.194754	49.11	200	619.37	3907.45	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index4.html	2025-12-12 10:01:34.354822	2025-12-12 10:01:34.371726	16.89	200	5061.61	10771.21	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index1.html	2025-12-12 10:01:35.843683	2025-12-12 10:01:35.867578	23.88	200	3280.87	9756.8	A	0.0	0.0	(0.0, 0.0)
http://10.40.1.135/index18.html	2025-12-12 10:01:37.205598	2025-12-12 10:01:37.248903	43.28	200	6370.79	9886.09	A	0.0	0.0	(0.0, 0.0)
