Queue #	URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)
2	http://10.40.1.135/index47.html	2025-12-03 23:44:48.024931	2025-12-03 23:44:48.163438	138.49	200	3239.0	4494.42
1	http://10.40.1.135/index12.html	2025-12-03 23:44:47.022559	2025-12-03 23:44:47.266580	244.0	200	4989.81	3055.78
3	http://10.40.1.135/index31.html	2025-12-03 23:44:49.029804	2025-12-03 23:44:49.071412	41.53	200	6818.25	10089.55
4	http://10.40.1.135/index23.html	2025-12-03 23:44:50.031584	2025-12-03 23:44:50.078932	47.33	200	3904.67	8454.62
5	http://10.40.1.135/index4.html	2025-12-03 23:44:51.033047	2025-12-03 23:44:51.078521	45.45	200	5061.61	9793.88
6	http://10.40.1.135/index4.html	2025-12-03 23:44:52.033729	2025-12-03 23:44:52.053387	19.64	200	5061.61	10864.66
7	http://10.40.1.135/index2.html	2025-12-03 23:44:53.035062	2025-12-03 23:44:53.080991	45.91	200	4336.15	6497.99
8	http://10.40.1.135/index40.html	2025-12-03 23:44:54.036285	2025-12-03 23:44:54.078647	42.34	200	8414.1	10436.02
9	http://10.40.1.135/index23.html	2025-12-03 23:44:55.037167	2025-12-03 23:44:55.057715	20.43	200	3904.67	7802.96
10	http://10.40.1.135/index30.html	2025-12-03 23:44:56.038090	2025-12-03 23:44:56.078640	40.53	200	3712.38	9514.21
11	http://10.40.1.135/index1.html	2025-12-03 23:44:57.038770	2025-12-03 23:44:57.082840	44.05	200	3280.87	9897.88
12	http://10.40.1.135/index48.html	2025-12-03 23:44:58.040116	2025-12-03 23:44:58.113287	73.14	200	4756.1	9830.43
13	http://10.40.1.135/index38.html	2025-12-03 23:44:59.040708	2025-12-03 23:44:59.082475	41.71	200	2753.35	9229.82
14	http://10.40.1.135/index6.html	2025-12-03 23:45:00.041830	2025-12-03 23:45:00.090466	48.61	200	2261.11	8580.78
15	http://10.40.1.135/index5.html	2025-12-03 23:45:01.042816	2025-12-03 23:45:01.086494	43.63	200	5061.6	10556.08
16	http://10.40.1.135/index5.html	2025-12-03 23:45:02.043747	2025-12-03 23:45:02.062455	18.69	200	5061.6	11030.24
17	http://10.40.1.135/index9.html	2025-12-03 23:45:03.044910	2025-12-03 23:45:03.091805	46.87	200	2820.52	8039.01
18	http://10.40.1.135/index19.html	2025-12-03 23:45:04.046126	2025-12-03 23:45:04.087223	41.08	200	5392.91	10563.03
19	http://10.40.1.135/index15.html	2025-12-03 23:45:05.047182	2025-12-03 23:45:05.091201	43.75	200	7720.04	10511.68
20	http://10.40.1.135/index9.html	2025-12-03 23:45:06.048307	2025-12-03 23:45:06.069936	21.6	200	2820.52	10910.29
21	http://10.40.1.135/index24.html	2025-12-03 23:45:07.048694	2025-12-03 23:45:07.091408	42.69	200	4648.98	9860.91
