URL	Start Time	End Time	RTT (ms)	Status Code	Total Size (KB)	Throughput (KB/s)	UE Position (x,y)
http://10.40.1.135/index8.html	2025-12-10 18:35:03.804636	2025-12-10 18:35:03.853040	57.02	200	6086.97	9561.36	(540.7,100.0)
http://10.40.1.135/index1.html	2025-12-10 18:35:04.805079	2025-12-10 18:35:04.848912	54.14	200	3280.87	5459.07	(580.7,100.0)
http://10.40.1.135/index1.html	2025-12-10 18:35:05.806042	2025-12-10 18:35:05.828807	34.86	200	3280.87	3462.27	(620.8,100.0)
http://10.40.1.135/index1.html	2025-12-10 18:35:06.807066	2025-12-10 18:35:06.815597	22.48	200	3280.87	6846.18	(660.8,100.0)
http://10.40.1.135/index40.html	2025-12-10 18:35:07.807788	2025-12-10 18:35:07.852923	60.97	200	8414.1	9944.0	(700.8,100.0)
http://10.40.1.135/index20.html	2025-12-10 18:35:08.809014	2025-12-10 18:35:08.843890	52.62	200	2759.79	6194.2	(740.9,100.0)
http://10.40.1.135/index6.html	2025-12-10 18:35:09.810170	2025-12-10 18:35:09.853493	62.99	200	2261.11	7605.81	(780.9,100.0)
http://10.40.1.135/index6.html	2025-12-10 18:35:10.811264	2025-12-10 18:35:10.827387	37.74	200	2261.11	7796.89	(821.0,100.0)
http://10.40.1.135/index47.html	2025-12-10 18:35:11.812163	2025-12-10 18:35:11.857132	68.47	200	3239.0	5655.16	(861.0,100.0)
http://10.40.1.135/index23.html	2025-12-10 18:35:12.813052	2025-12-10 18:35:12.854422	66.87	200	3904.67	100.0	(901.0,100.0)
http://10.40.1.135/index12.html	2025-12-10 18:35:13.814248	2025-12-10 18:35:13.859047	72.26	200	4989.81	100.0	(941.1,100.0)
http://10.40.1.135/index10.html	2025-12-10 18:35:14.815278	2025-12-10 18:35:14.857678	71.77	200	3154.92	100.0	(981.1,100.0)
http://10.40.1.135/index10.html	2025-12-10 18:35:15.816267	2025-12-10 18:35:15.865220	74.43	200	3154.92	100.0	(-100.0,100.0)
HO::cell_B->cell_A	2025-12-10 18:35:16.816803	UE_Pos:(-60.0,100.0)				
http://10.40.1.135/index17.html	2025-12-10 18:35:16.917793	2025-12-10 18:35:16.959252	47.21	200	4156.75	8694.4	(-60.0,100.0)
http://10.40.1.135/index5.html	2025-12-10 18:35:17.818009	2025-12-10 18:35:17.861306	48.37	200	5061.6	9028.47	(-19.9,100.0)
http://10.40.1.135/index25.html	2025-12-10 18:35:18.819012	2025-12-10 18:35:18.865368	51.44	200	3605.24	8778.0	(20.1,100.0)
http://10.40.1.135/index1.html	2025-12-10 18:35:19.819857	2025-12-10 18:35:19.862007	47.93	200	3280.87	5175.41	(60.2,100.0)
http://10.40.1.135/index1.html	2025-12-10 18:35:20.820888	2025-12-10 18:35:20.839411	25.58	200	3280.87	7518.94	(100.2,100.0)
http://10.40.1.135/index2.html	2025-12-10 18:35:21.821894	2025-12-10 18:35:21.866390	53.09	200	4336.15	6513.08	(140.2,100.0)
http://10.40.1.135/index6.html	2025-12-10 18:35:22.823042	2025-12-10 18:35:22.868630	55.87	200	2261.11	7701.92	(180.3,100.0)
http://10.40.1.135/index2.html	2025-12-10 18:35:23.823972	2025-12-10 18:35:23.866759	54.86	200	4336.15	7249.16	(220.3,100.0)
http://10.40.1.135/index3.html	2025-12-10 18:35:24.825102	2025-12-10 18:35:24.867927	56.75	200	8540.05	10230.24	(260.4,100.0)
HO::cell_A->cell_B	2025-12-10 18:35:26.826982	UE_Pos:(340.4,100.0)				
http://10.40.1.135/index11.html	2025-12-10 18:35:25.825858	2025-12-10 18:35:25.867800	57.75	200	7659.31	6327.96	(300.4,100.0)
http://10.40.1.135/index3.html	2025-12-10 18:35:26.927737	2025-12-10 18:35:26.966983	44.84	200	8540.05	7800.05	(340.4,100.0)
http://10.40.1.135/index4.html	2025-12-10 18:35:27.828394	2025-12-10 18:35:27.873547	50.1	200	5061.61	5080.34	(380.5,100.0)
http://10.40.1.135/index8.html	2025-12-10 18:35:28.830774	2025-12-10 18:35:28.874807	49.0	200	6086.97	7095.15	(420.6,100.0)
http://10.40.1.135/index21.html	2025-12-10 18:35:29.832503	2025-12-10 18:35:29.878035	51.36	200	8906.33	9796.35	(460.6,100.0)
http://10.40.1.135/index1.html	2025-12-10 18:35:30.832982	2025-12-10 18:35:30.877694	51.79	200	3280.87	7386.86	(500.7,100.0)
http://10.40.1.135/index8.html	2025-12-10 18:35:31.833850	2025-12-10 18:35:31.874959	49.72	200	6086.97	7401.18	(540.7,100.0)
http://10.40.1.135/index34.html	2025-12-10 18:35:32.834921	2025-12-10 18:35:32.876197	51.58	200	6932.42	7994.53	(580.8,100.0)
http://10.40.1.135/index2.html	2025-12-10 18:35:33.837922	2025-12-10 18:35:33.880730	54.91	200	4336.15	8199.6	(620.9,100.0)
http://10.40.1.135/index1.html	2025-12-10 18:35:34.838844	2025-12-10 18:35:34.881141	56.25	200	3280.87	5850.59	(660.9,100.0)
http://10.40.1.135/index23.html	2025-12-10 18:35:35.840114	2025-12-10 18:35:35.888294	63.79	200	3904.67	6086.29	(701.0,100.0)
http://10.40.1.135/index2.html	2025-12-10 18:35:36.840938	2025-12-10 18:35:36.884841	61.5	200	4336.15	6944.5	(741.0,100.0)
http://10.40.1.135/index16.html	2025-12-10 18:35:37.842314	2025-12-10 18:35:37.899538	76.89	200	4421.69	8605.54	(781.1,100.0)
http://10.40.1.135/index3.html	2025-12-10 18:35:38.843063	2025-12-10 18:35:38.889798	68.35	200	8540.05	10362.31	(821.1,100.0)
http://10.40.1.135/index32.html	2025-12-10 18:35:39.844714	2025-12-10 18:35:39.891906	70.64	200	5824.42	5627.01	(861.1,100.0)
http://10.40.1.135/index13.html	2025-12-10 18:35:40.845817	2025-12-10 18:35:40.890463	70.18	200	4702.43	100.0	(901.2,100.0)
http://10.40.1.135/index13.html	2025-12-10 18:35:41.846990	2025-12-10 18:35:41.894783	75.3	200	4702.43	100.0	(941.2,100.0)
http://10.40.1.135/index1.html	2025-12-10 18:35:42.848105	2025-12-10 18:35:42.891148	72.51	200	3280.87	100.0	(981.3,100.0)
http://10.40.1.135/index27.html	2025-12-10 18:35:43.848945	2025-12-10 18:35:43.891760	68.2	200	619.37	100.0	(-100.0,100.0)
HO::cell_B->cell_A	2025-12-10 18:35:44.849999	UE_Pos:(-60.0,100.0)				
http://10.40.1.135/index2.html	2025-12-10 18:35:44.950582	2025-12-10 18:35:44.994849	49.96	200	4336.15	7899.18	(-60.0,100.0)
http://10.40.1.135/index4.html	2025-12-10 18:35:45.850954	2025-12-10 18:35:45.893129	47.25	200	5061.61	8652.17	(-19.9,100.0)
http://10.40.1.135/index15.html	2025-12-10 18:35:46.851900	2025-12-10 18:35:46.895582	48.76	200	7720.04	9634.89	(20.1,100.0)
http://10.40.1.135/index25.html	2025-12-10 18:35:47.853044	2025-12-10 18:35:47.902851	55.61	200	3605.24	6389.03	(60.2,100.0)
http://10.40.1.135/index7.html	2025-12-10 18:35:48.853891	2025-12-10 18:35:48.895822	48.99	200	8054.41	9829.02	(100.2,100.0)
http://10.40.1.135/index1.html	2025-12-10 18:35:49.855163	2025-12-10 18:35:49.899210	52.64	200	3280.87	8139.73	(140.2,100.0)
http://10.40.1.135/index14.html	2025-12-10 18:35:50.855945	2025-12-10 18:35:50.903554	57.9	200	1955.59	7623.49	(180.3,100.0)
http://10.40.1.135/index4.html	2025-12-10 18:35:51.856779	2025-12-10 18:35:51.898764	54.06	200	5061.61	9579.82	(220.3,100.0)
http://10.40.1.135/index2.html	2025-12-10 18:35:52.858825	2025-12-10 18:35:52.925630	80.64	200	4336.15	9344.12	(260.4,100.0)
HO::cell_A->cell_B	2025-12-10 18:35:53.859952	UE_Pos:(300.4,100.0)				
http://10.40.1.135/index48.html	2025-12-10 18:35:53.960761	2025-12-10 18:35:54.004095	50.37	200	4756.1	8577.27	(300.4,100.0)
http://10.40.1.135/index4.html	2025-12-10 18:35:54.860773	2025-12-10 18:35:54.902835	47.85	200	5061.61	9917.17	(340.5,100.0)
http://10.40.1.135/index7.html	2025-12-10 18:35:55.862339	2025-12-10 18:35:55.909835	52.39	200	8054.41	10608.92	(380.5,100.0)
http://10.40.1.135/index7.html	2025-12-10 18:35:56.863012	2025-12-10 18:35:56.906829	48.9	200	8054.41	10977.18	(420.6,100.0)
http://10.40.1.135/index1.html	2025-12-10 18:35:57.863828	2025-12-10 18:35:57.906223	48.22	200	3280.87	9246.44	(460.6,100.0)
http://10.40.1.135/index46.html	2025-12-10 18:35:58.864814	2025-12-10 18:35:58.906672	48.93	200	8054.42	10917.06	(500.6,100.0)
http://10.40.1.135/index3.html	2025-12-10 18:35:59.866470	2025-12-10 18:35:59.914964	57.1	200	8540.05	10880.94	(540.7,100.0)
http://10.40.1.135/index1.html	2025-12-10 18:36:00.868939	2025-12-10 18:36:00.913808	55.18	200	3280.87	8075.18	(580.8,100.0)
http://10.40.1.135/index50.html	2025-12-10 18:36:01.870036	2025-12-10 18:36:01.916696	58.74	200	4727.24	10275.44	(620.8,100.0)
Total			5689.07		495076.39	736500.47	
Average			56.89		4950.76	7365.0	
# Eviction Analysis (Threshold 20%): Count=67, Total_Req=100, Rate=67.00%
